family,shade,hex
Gray,1,#191919
Gray,2,#333333
Gray,3,#666666
Gray,4,#999999
Gray,5,#CCCCCC
Red,1,#491014
Red,2,#5E1419
Red,3,#74191F
Red,4,#8A1D25
Red,5,#A24147
Orange,1,#804707
Orange,2,#BF6B0A
Orange,3,#FF8E0D
Orange,4,#FFA53D
Orange,5,#FFBB6E
Yellow,1,#998D08
Yellow,2,#CCBC0A
Yellow,3,#FFEB0D
Yellow,4,#FFF04A
Yellow,5,#FFF47A
Green,1,#04481B
Green,2,#066B28
Green,3,#088F35
Green,4,#46AB68
Green,5,#77C190
Teal,1,#05483F
Teal,2,#076B5E
Teal,3,#098F7D
Teal,4,#47AB9E
Teal,5,#78C1B8
Blue,1,#002D61
Blue,2,#004492
Blue,3,#005AC2
Blue,4,#4083D1
Blue,5,#73A4DD
Purple,1,#2B1261
Purple,2,#411A92
Purple,3,#5623C2
Purple,4,#805AD1
Purple,5,#A286DD
Magenta,1,#5A043A
Magenta,2,#860557
Magenta,3,#B30774
Magenta,4,#C64597
Magenta,5,#D577B3
Pink,1,#80363B
Pink,2,#BF5058
Pink,3,#FF6B75
Pink,4,#FF9098
Pink,5,#FFAEB3
Sage,1,#203222
Sage,2,#304A32
Sage,3,#406343
Sage,4,#708A72
Sage,5,#96A998
Slate,1,#37414D
Slate,2,#526273
Slate,3,#6D8299
Slate,4,#92A1B3
Slate,5,#AFBAC7
Brown,1,#3C3529
Brown,2,#5A503D
Brown,3,#786A51
Brown,4,#9A8F7D
Brown,5,#B5AD9F
